Name,Code,State Code,State,Primary Language
Birmingham,US-BI-630,AL,Alabama,en
Columbus,US-CO-522,AL,Alabama,en
Dothan,US-DO-606,AL,Alabama,en
Huntsville,US-HU-691,AL,Alabama,en
Mobile,US-MO-686,AL,Alabama,en
Montgomery-Selma,US-MS-698,AL,Alabama,en
Anchorage,US-AN-743,AK,Alaska,en
Fairbanks,US-FA-745,AK,Alaska,en
Juneau,US-JU-747,AK,Alaska,en
Phoenix,US-PH-753,AZ,Arizona,en
Tucson (Sierra Vista),US-TU-789,AZ,Arizona,en
Yuma-El Centro,US-YU-771,AZ,Arizona,en
Ft. Smith,US-FS-670,AR,Arkansas,en
Jonesboro,US-JO-734,AR,Arkansas,en
Little Rock,US-LR-693,AR,Arkansas,en
Monroe-El Dorado,US-MO-628,AR,Arkansas,en
Bakersfield,US-BA-800,CA,California,en
Chico-Redding,US-CH-868,CA,California,en
Eureka,US-EU-802,CA,California,en
Fresno-Visalia,US-FV-866,CA,California,en
Los Angeles,US-LA-803,CA,California,en
Monterey-Salinas,US-MS-828,CA,California,en
Palm Springs,US-PS-804,CA,California,en
Sacramento,US-SC-862,CA,California,en
San Diego,US-SD-825,CA,California,en
San Francisco,US-SF-807,CA,California,en
Santa Barbara,US-SB-855,CA,California,en
Yuma-El Centro,US-YC-771,CA,California,en
Colorado Sprgs,US-CS-752,CO,Colorado,en
Denver,US-DE-751,CO,Colorado,en
Grand Junction,US-GJ-773,CO,Colorado,en
Hartford & New Haven,US-HH-533,CT,Connecticut,en
Washington,US-WA-511,DC,District of Columbia,en
Ft. Myers-Naples,US-FM-571,FL,Florida,en
Gainesville,US-GA-592,FL,Florida,en
Jacksonville,US-JA-561,FL,Florida,en
Miami-Ft. Lauderdale,US-MI-528,FL,Florida,en
Mobile,US-MO-686,FL,Florida,en
Orlando,US-OR-534,FL,Florida,en
Panama City,US-PC-656,FL,Florida,en
Tallahassee,US-TL-530,FL,Florida,en
Tampa,US-TM-539,FL,Florida,en
W. Palm Beach,US-PB-548,FL,Florida,en
Albany,US-AL-525,GA,Georgia,en
Atlanta,US-AT-524,GA,Georgia,en
Augusta-Aiken,US-AU-520,GA,Georgia,en
Columbus,US-CO-522,GA,Georgia,en
Macon,US-MA-503,GA,Georgia,en
Savannah,US-SA-507,GA,Georgia,en
Tallahassee,US-TA-530,GA,Georgia,en
Honolulu,US-HO-744,HI,Hawaii,en
Boise,US-BO-757,ID,Idaho,en
Idaho Falls,US-ID-758,ID,Idaho,en
Twin Falls,US-TW-760,ID,Idaho,en
Champaign,US-CA-648,IL,Illinois,en
Chicago,US-CH-602,IL,Illinois,en
Davenport,US-DA-682,IL,Illinois,en
Paducah,US-PA-632,IL,Illinois,en
Peoria-Bloomington,US-PB-675,IL,Illinois,en
Quincy,US-QU-717,IL,Illinois,en
Rockford,US-RO-610,IL,Illinois,en
Evansville,US-EV-649,IN,Indiana,en
Ft. Wayne,US-FW-509,IN,Indiana,en
Indianapolis,US-IN-527,IN,Indiana,en
Lafayette,US-LA-582,IN,Indiana,en
South Bend-Elkhart,US-SB-588,IN,Indiana,en
Terre Haute,US-TH-581,IN,Indiana,en
Cedar Rapids,US-CR-637,IA,Iowa,en
Davenport,US-DA-682,IA,Iowa,en
Des Moines-Ames,US-MA-679,IA,Iowa,en
Ottumwa,US-OT-631,IA,Iowa,en
Quincy,US-QU-717,IA,Iowa,en
Rochester,US-RO-611,IA,Iowa,en
Sioux City,US-SC-624,IA,Iowa,en
Joplin-Pittsburg,US-JP-603,KS,Kansas,en
Kansas City,US-KC-616,KS,Kansas,en
Topeka,US-PO-605,KS,Kansas,en
Wichita,US-WI-678,KS,Kansas,en
Bowling Green,US-BG-736,KY,Kentucky,en
Lexington,US-LX-541,KY,Kentucky,en
Louisville,US-LO-529,KY,Kentucky,en
Paducah,US-PA-632,KY,Kentucky,en
Alexandria,US-AL-644,LA,Louisiana,en
Baton Rouge,US-BR-716,LA,Louisiana,en
Lafayette,US-LA-642,LA,Louisiana,en
Lake Charles,US-LC-643,LA,Louisiana,en
Monroe-El Dorado,US-MD-628,LA,Louisiana,en
New Orleans,US-NO-622,LA,Louisiana,en
Shreveport,US-SH-612,LA,Louisiana,en
