States,Codes
Alabama,921
Alaska,922
Arizona,923
Arkansas,924
California,925
Colorado,926
Connecticut,927
Delaware,928
District of Columbia,929
Florida,930
Georgia,931
Hawaii,932
Idaho,933
Illinois,934
Indiana,935
Iowa,936
Kansas,937
Kentucky,938
Louisiana,939
Maine,940
Maryland,941
Massachusetts,942
Michigan,943
Minnesota,944
Mississippi,945
Missouri,946
Montana,947
Nebraska,948
Nevada,949
New Hampshire,950
New Jersey,951
New Mexico,952
New York,953
North Carolina,954
North Dakota,955
Ohio,956
Oklahoma,957
Oregon,958
Pennsylvania,959
Rhode Island,960
South Carolina,961
South Dakota,962
Tennessee,963
Texas,964
Utah,965
Vermont,966
Virginia,967
Washington,968
West Virginia,969
Wisconsin,970
Wyoming,971
American Samoa,972
Commonwealth of the Northern Mariana Islands,973
Puerto Rico,974
Virgin Islands,975
New York City,976
Los Angeles,977
